username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
LukasSeelmann,,"Düsseldorf, Deutschland",15,2,20,2017-08-15 08:27:10,2020-07-06 06:12:56,0,"Driving cars is too dangerous. Self driving cars have to become the norm as soon as possible!

#tesla #SelfDrivingCars","[{'text': 'tesla', 'indices': [95, 101]}, {'text': 'SelfDrivingCars', 'indices': [102, 118]}]"
techshift67,𝔉𝔲𝔱𝔲𝔯𝔢 𝔈𝔫𝔤𝔦𝔫𝔢𝔢𝔯,,774,124,22489,2017-04-10 19:12:53,2020-07-06 06:12:50,6,"Did I just buy #tesla short shorts. - Yes.

Am I going to wear them. - Also Yes.

Do I care who sees. - No.

Do I love how they were $69.420. - Of course.

Next I need some Teslaquila to drink while wearing these short shorts on these summer days. @elonmusk any update? ☀️🩳🍹 https://t.co/atEN9nyP29","[{'text': 'tesla', 'indices': [35, 41]}]"
CoolCarSalesUK,"30 Yrs Experience in Sales, Management & Marketing - Available 4 short term / temporary contract work / full time employment /  London UK & Surrounding Counties",London & Surrounding Counties ,213,17,215,2020-03-05 19:46:13,2020-07-06 06:12:13,1,"#Tesla stole a march on mainstream car makers when it launched the high-tech, bonkers-fast and fully electric #ModelS.

In our latest video review, we see if the latest version still sets the standard: https://t.co/zWKDoWB3In https://t.co/Ei9v4X0ith","[{'text': 'Tesla', 'indices': [13, 19]}, {'text': 'ModelS', 'indices': [123, 130]}]"
zee52020,I am a Q follower and a truth seeker.  I'm on Parler too. WWG1WGA!,U.S.,339,119,2823,2017-10-11 14:25:11,2020-07-06 06:10:39,6,"OK, So according to the FBI website, Nikola Tesla was born on Venus!! JiggaSayWhaaaat!?? #qanon #tesla #the1111code https://t.co/jFlPqggGkq","[{'text': 'qanon', 'indices': [106, 112]}, {'text': 'tesla', 'indices': [113, 119]}, {'text': 'the1111code', 'indices': [120, 132]}]"
scbirduk,Software Designer and Test Analyst. Been at it too long.,"Milton Keynes, England",75,77,2110,2013-01-06 14:18:33,2020-07-06 06:10:23,1,"Let's talk about how @Tesla surprised even its biggest fans, how @Toyota has competed with my dating life and other EV news, with our channel contributor @tommolog: https://t.co/p90asoOxSj

#ev #news #tesla #electriccar https://t.co/myzIUuHKWF",[]
AlexBrangwin,Australian 3D/CGI/Video Game artist & Virtual Worldbuilder,"Wollongong, New South Wales",1630,945,35741,2016-05-14 09:06:01,2020-07-06 06:07:24,0,"@Reuters I don't own any stock let alone #tslaq &amp; I get the ""short"" name thrown at me all the time, like it's supposed to magically nullify what I'm saying.
#Tesla is f**ked, they don;t have enough money to replace gasoline, #Hydrogen will do better and you better get used to the idea!","[{'text': 'tslaq', 'indices': [41, 47]}, {'text': 'Tesla', 'indices': [161, 167]}, {'text': 'Hydrogen', 'indices': [229, 238]}]"
ShannonStar2020,"A Wise man learns more from a foolish question than a foolish person ever learns from wise men. 
I AM A Queen of Questions. 
I AM Myself 🌺",SW Oregon,477,514,12930,2020-05-29 00:51:49,2020-07-06 06:03:34,6,"OK, So according to the FBI website, Nikola Tesla was born on Venus!! JiggaSayWhaaaat!?? #qanon #tesla #the1111code https://t.co/jFlPqggGkq","[{'text': 'qanon', 'indices': [106, 112]}, {'text': 'tesla', 'indices': [113, 119]}, {'text': 'the1111code', 'indices': [120, 132]}]"
c_labrinos,,,8,324,52542,2020-05-01 16:59:07,2020-07-06 06:03:25,1,CleanTechnica’s First Virtual Trade Show! Top Tesla Aftermarket Gear! https://t.co/CzMLxPl962 #TeamElon $TSLA #Tesla,"[{'text': 'TeamElon', 'indices': [111, 120]}, {'text': 'Tesla', 'indices': [127, 133]}]"
mann_chhabra,"Diary of a guy with not so acceptable thoughts in a society. 📙

And kids- if you're 23 or below, please specify age in Bold on your accounts. my head hurts!", Ontario,695,287,15565,2011-01-06 13:57:45,2020-07-06 06:03:06,0,"Those #Tesla red satin shorts are so S3XY 😍😍🤤🤤

Holy ! Women have no idea how easy it is to turn our switches on 😉","[{'text': 'Tesla', 'indices': [6, 12]}]"
MemesOfMars,Founder & Future Mars Entrepreneur! #Blockchain #Twitter'Jedi $TSLA 👨‍💻💰https://t.co/gnYR4jpoQu,Germany,1017,2553,28084,2008-07-23 17:37:10,2020-07-06 06:00:23,1,CleanTechnica’s First Virtual Trade Show! Top Tesla Aftermarket Gear! https://t.co/CzMLxPl962 #TeamElon $TSLA #Tesla,"[{'text': 'TeamElon', 'indices': [94, 103]}, {'text': 'Tesla', 'indices': [110, 116]}]"
Deetech_in,"DeeTech  is New News Media Company.
Breaking News Of All Around World.
Follow more ⬇️
Instagram : https://t.co/TuHeWrBtGk",India,3,11,40,2018-10-21 07:18:33,2020-07-06 05:56:50,0,"#Tesla Become World's most valuable carmaker.
Follow more Tech update :-@Deetech_in https://t.co/2gZSZ34aQX","[{'text': 'Tesla', 'indices': [0, 6]}]"
CrowStu,Chairman Lake Resources (ASX:LKE; OTC:LLKKF)   NED Ironridge Resources (AIM:IRR) NED Todd River Resources (ASX:TRT) EV supply chain participant.,"Brisbane, Australia",2035,1561,30277,2012-05-22 04:37:48,2020-07-06 05:56:18,1,"@MMiccelli @elonmusk @truth_tesla @bipulh #Sustainabilty &amp; #Scalability with low impurities are essential for #Battery #SupplyChains👇
Add in the #ESG footprint required for a full audit trail of all the #Cathode &amp; #Anode raw materials as highlighted in #Tesla #ImpactReport &amp; the game has changed.
#DLE #Lithium #Brine 🇦🇷 https://t.co/lbj8nSVF4w","[{'text': 'Sustainabilty', 'indices': [59, 73]}, {'text': 'Scalability', 'indices': [80, 92]}, {'text': 'Battery', 'indices': [131, 139]}]"
helipilotpat,"“Physics is the law, everything else is a recommendation.” - Elon Musk","Ticino, Svizzera",173,183,6225,2016-10-21 20:39:48,2020-07-06 05:53:44,12,"Yes, I’m pro #Tesla and very skeptical and wary of fossil #GermanAuto. Here’s a major reason why: https://t.co/jdIzXEGa1R","[{'text': 'Tesla', 'indices': [30, 36]}, {'text': 'GermanAuto', 'indices': [75, 86]}]"
BRICKCOINED,I DO NOT GIVE FINANCIAL ADVICE AND I AM NOT REGISTERED WITH THE SEC. ENTERTAINMENT ONLY. 🍄 💰OPTIONS ARE MY VICE 🍄,"Manhattan, NY",380,275,13678,2017-12-08 08:07:31,2020-07-06 05:52:06,0,@WallStSai DOES $JPM KNOW WHERE I GET THE RED SATIN #TESLA $TSLA #SHORTS https://t.co/S0jPdOS019,"[{'text': 'TESLA', 'indices': [52, 58]}, {'text': 'SHORTS', 'indices': [65, 72]}]"
EnrichoSantuar4,,,11,2,14,2020-07-01 03:28:18,2020-07-06 05:51:32,0,"Elon Musk's increasing wealth shows that Electric Fuel Cars or Smart Car Sales are Increasingly Sharp and their Market Share is getting wider.I hope that domestic Automotive business people take this opportunity before it's too late 
#ElonMusk #Tesla","[{'text': 'ElonMusk', 'indices': [234, 243]}, {'text': 'Tesla', 'indices': [244, 250]}]"
SSXman2,I'm a biologist,"Benin-City, Nigeria",4991,4285,330146,2017-07-28 08:00:40,2020-07-06 05:49:45,6,"#AI #autonomousdriving #Tesla #innovation 

This is What Tesla's Autopilot Really Sees on The Roads Eyes

by @UNILADTECH TY, MT @sebbourguignon 

https://t.co/jz2qV1alw5 https://t.co/fGeydgWaZK","[{'text': 'AI', 'indices': [20, 23]}, {'text': 'autonomousdriving', 'indices': [24, 42]}, {'text': 'Tesla', 'indices': [43, 49]}, {'text': 'innovation', 'indices': [50, 61]}]"
AlexCruz_WhoRU,You are here cause I offended you?,,3,1,19,2020-06-21 15:07:22,2020-07-06 05:49:42,0,"@Tesla @elonmusk I now have short shorts and need a women to fit in them, ok brain storm ideas go! #tesla #teslashortshorts ha this is for you short sellers shorting Tesla ;)","[{'text': 'tesla', 'indices': [99, 105]}, {'text': 'teslashortshorts', 'indices': [106, 123]}]"
PerSegerstrom,"Skapare av Börstipset och däri uttrycket ” Mer än bara tur”. Värdepappershandel, PGA Golf Club Manager/PGA Golf Professional M5 , älskar sport och marknad",,939,274,4064,2014-02-23 13:48:04,2020-07-06 05:48:24,0,@TureMasing @AnnaSvahn_ Short(s) #tesla nu😂,"[{'text': 'tesla', 'indices': [33, 39]}]"
Doomsday3m,Failures are a part of life. If you dont fail you will never learn and if you never learn you will never grow. #JemezPuebloNM #WalatowaRegulator,,14723,14875,68322,2013-01-09 23:24:45,2020-07-06 05:48:23,0,@sticEsweet1 @JettiWhitewolf @nearly_departed @MetalGi38798047 @GibsonGothMan @unknown_meuknow @MTerkovich @Lisa24961585 @1carolinagirl @Wewillrocku66 @Jo_Lloyd8 @slayerific13 @Shawnkin3 @mtlkeith @nowayjeff @mcarr2k @metalheadjs @BerserkerBill @Figster017 @The_Brastard @tmudder4 Screw that! Motley sucks live anyways. Def Leppard was ok the last time I saw them but I went mainly to see #Tesla What’s funny is #REOSpeedwagon stole the show,"[{'text': 'Tesla', 'indices': [389, 395]}, {'text': 'REOSpeedwagon', 'indices': [412, 426]}]"
CN_wire,"Investor, energy observer.🛢️
Focus on China's macro and market. $CNY $CNH $LK $BABA
Providing Chinese news, data, charts, notes. #Fintwit",Shanghai HongKong,307,1350,4955,2015-08-29 11:05:09,2020-07-06 05:47:44,0,"JP Morgan raises TESLA's target price to $295 from $275.
#Tesla $TSLA","[{'text': 'Tesla', 'indices': [57, 63]}]"
Anvith64518557,Follow me for latest updates in IoT.,Bangalore,0,97,3804,2020-06-02 13:31:13,2020-07-06 05:44:17,6,5 Chinese Stocks Into Permanent Magnets https://t.co/PBZMXbjaOT #China #Technology #Stocks #Magnetic #Materials #Magnets #Ironore #Neodymium #Smartphones #Auto #EV #Tesla #Markets #Trading #IoT #BigData,"[{'text': 'China', 'indices': [81, 87]}, {'text': 'Technology', 'indices': [88, 99]}, {'text': 'Stocks', 'indices': [100, 107]}, {'text': 'Magnetic', 'indices': [108, 117]}, {'text': 'Materials', 'indices': [118, 128]}, {'text': 'Magnets', 'indices': [129, 137]}]"
PlugYourRide,"A weekly podcast about Tesla... Tesla cars, Tesla stock, Tesla stories, Tesla tips","Denver, CO",28,162,133,2016-03-05 16:14:43,2020-07-06 05:43:11,0,"📣 New Podcast! ""Episode 179: Short Shorts Are A Thing"" on @Spreaker #ev #model3 #models #modelx #modely #tesla #tsla https://t.co/4qRZgWDdTn","[{'text': 'ev', 'indices': [68, 71]}, {'text': 'model3', 'indices': [72, 79]}, {'text': 'models', 'indices': [80, 87]}, {'text': 'modelx', 'indices': [88, 95]}, {'text': 'modely', 'indices': [96, 103]}, {'text': 'tesla', 'indices': [104, 110]}, {'text': 'tsla', 'indices': [111, 116]}]"
Inspirezones,Inspire zone is the Best Corporate Magazine across the globe for creativity,"Maharashtra, India",50,23,42,2020-04-13 14:29:36,2020-07-06 05:43:05,0,"Tesla beat Toyota to become most valuable carmaker in the world
https://t.co/KCQPoNqfHI

#Tesla #Motorsport #carmaker #automobile #Automotive #mondaythoughts #MondayMotivation https://t.co/n5LLwK70ly","[{'text': 'Tesla', 'indices': [89, 95]}, {'text': 'Motorsport', 'indices': [96, 107]}, {'text': 'carmaker', 'indices': [108, 117]}, {'text': 'automobile', 'indices': [118, 129]}, {'text': 'Automotive', 'indices': [130, 141]}, {'text': 'mondaythoughts', 'indices': [142, 157]}, {'text': 'MondayMotivation', 'indices': [158, 175]}]"
ajithjpp,"#Stock #investing simplified. Sharing curated actionable news, portfolio snapshots, & profitable trades. #BU #Econ Alum, MSc in #Finance, former RA at #NomuraAM","New York, USA",5,35,116,2017-11-20 17:37:29,2020-07-06 05:42:55,0,"Working towards better &amp; cheaper #batteries with longer range by removing the #cobalt sourcing bottleneck - https://t.co/pfnl2Y9m0i - In other news, #Tesla started working with #LGChem, in addition to #CATL &amp; #Panasonic. Korea, China, &amp; Japan’s top #battery makers, respectively","[{'text': 'batteries', 'indices': [37, 47]}, {'text': 'cobalt', 'indices': [82, 89]}, {'text': 'Tesla', 'indices': [153, 159]}, {'text': 'LGChem', 'indices': [181, 188]}, {'text': 'CATL', 'indices': [205, 210]}, {'text': 'Panasonic', 'indices': [217, 227]}, {'text': 'battery', 'indices': [261, 269]}]"
Nicky_DTJ,Rollin with the homies 🎲🎲,"Beverly Hills, CA",127,9,671,2016-10-10 15:36:54,2020-07-06 05:41:29,0,@JuddApatow So fucking glad I didn’t pull the trigger on that #Tesla a few years back. #fuckelonmusk #fuckkanye #TrumpTreason,"[{'text': 'Tesla', 'indices': [62, 68]}, {'text': 'fuckelonmusk', 'indices': [87, 100]}, {'text': 'fuckkanye', 'indices': [101, 111]}, {'text': 'TrumpTreason', 'indices': [112, 125]}]"
AmitChampaneri1,Senior Manager @PwC | @PMFGlobal Committee | #Marketing #BusinessDevelopment #Sales | #Speaker | #DigitalTransformation Advocate | #Travel | #Sports | My Views,Surrey | London | Leeds | UK,5300,4915,28067,2011-05-29 15:00:50,2020-07-06 05:37:19,1,Mind blown 🤯 #Future of #Transport &amp; #Automotive! How the #Tesla #autopilot sees the #road via @HaroldSinnott in #video 👇🏽#SelfDrivingCars #SmartCar #Autonomous #AI #MachineLearning #ML #5G #DeepLearning #ArtificialIntelligence #Robotics cc @andi_staub @mvollmer1 @MikeQuindazzi https://t.co/ZhC1RwKXSe,"[{'text': 'Future', 'indices': [34, 41]}, {'text': 'Transport', 'indices': [45, 55]}, {'text': 'Automotive', 'indices': [62, 73]}, {'text': 'Tesla', 'indices': [83, 89]}, {'text': 'autopilot', 'indices': [90, 100]}, {'text': 'road', 'indices': [110, 115]}]"
69NiceBot69,I retweet almost everything with 69,,1,884,174234,2020-03-09 16:35:28,2020-07-06 05:34:34,1,$69 for tesla short shorts is a ridiculous amount to pay for a cloth less than half a meter. #teslaShortShorts #tesla,"[{'text': 'teslaShortShorts', 'indices': [111, 128]}, {'text': 'tesla', 'indices': [129, 135]}]"
economyninja,I am a economic cycles annalist and real estate agent. I love showing others where we are in the current economic bubble.,,83,101,1971,2020-02-19 23:48:46,2020-07-06 05:33:22,0,"@SGTreport Dont buy #gold, it may be subject to price increases. Buy #Tesla instead cause as long as they loose money their share price will rise #crazy","[{'text': 'gold', 'indices': [20, 25]}, {'text': 'Tesla', 'indices': [69, 75]}, {'text': 'crazy', 'indices': [146, 152]}]"
GlobalMakhan,"Earth is a better place without world leaders.
All tweets are personal thoughts.

Change is always better",,473,5,34,2020-02-29 06:36:40,2020-07-06 05:31:30,1,$69 for tesla short shorts is a ridiculous amount to pay for a cloth less than half a meter. #teslaShortShorts #tesla,"[{'text': 'teslaShortShorts', 'indices': [93, 110]}, {'text': 'tesla', 'indices': [111, 117]}]"
Dailybits,"Marketing Strategist @intracto, DPO, freelancer, (tech)blogging since 2005 as Dailybits. Tweets mainly in Dutch.",Belgium,1850,3923,29016,2009-01-23 13:02:09,2020-07-06 05:23:17,5,Simon parks his #Tesla #ModelY next to the upcoming Ford #MachE for a size comparison https://t.co/h1XLye40B5,"[{'text': 'Tesla', 'indices': [34, 40]}, {'text': 'ModelY', 'indices': [41, 48]}, {'text': 'MachE', 'indices': [75, 81]}]"
sjoerd87777991,,,347,216,6616,2018-08-20 15:38:58,2020-07-06 05:19:36,10,"Elon promises and delivers. Get them now while they’re short!
#Tesla #LikeTesla #ModelS #ModelX #ModelY #Model3 #Cybertruck 
https://t.co/A9rSCgigGr https://t.co/EwAYxlXToR","[{'text': 'Tesla', 'indices': [80, 86]}, {'text': 'LikeTesla', 'indices': [87, 97]}, {'text': 'ModelS', 'indices': [98, 105]}, {'text': 'ModelX', 'indices': [106, 113]}, {'text': 'ModelY', 'indices': [114, 121]}, {'text': 'Model3', 'indices': [122, 129]}]"
_TheWhiteDeath,If only i can remove my emotions i would,,209,83,3451,2017-07-23 09:59:07,2020-07-06 05:07:26,1261,"Cybertruck inside Petersen Automotive Museum.
#tesla #Cybertruck https://t.co/2XaZoM40Ve","[{'text': 'tesla', 'indices': [62, 68]}, {'text': 'Cybertruck', 'indices': [69, 80]}]"
FUDlife420,"I tweet reviews and testimonials about Tesla. See #TeslaServiceIssues and #TeslaQualityIssues. False positive Covid-19 test survivor.

Parody.","Fremont, CA",126,501,11046,2019-11-06 16:45:19,2020-07-06 04:59:24,4,"News for $TSLAQ today:
- Chinese #Tesla Model 3 on #Autopilot crashes into BYD electric truck h/t @DKurac @StultusVox
- Tesla cultists’ response to @Paul91701736’s massive inventory thread: It’s to ensure there’s enough supply to satisfy high demand
1/4","[{'text': 'Tesla', 'indices': [49, 55]}, {'text': 'Autopilot', 'indices': [67, 77]}]"
elonmuskcovid19,put hands to clay / make wonders,,6,0,48,2020-07-06 04:16:53,2020-07-06 04:58:27,1261,"Cybertruck inside Petersen Automotive Museum.
#tesla #Cybertruck https://t.co/2XaZoM40Ve","[{'text': 'tesla', 'indices': [62, 68]}, {'text': 'Cybertruck', 'indices': [69, 80]}]"
elonmuskcovid19,put hands to clay / make wonders,,6,0,48,2020-07-06 04:16:53,2020-07-06 04:58:11,741,First thoughts driving my new Tesla model Y. Review and discussion of what I learned at Tesla today and outlook for the stock. #tesla $tsla #teslamodelY #StockMarket #stock @elonmusk  https://t.co/Jc5E6n1VUN,[]
5stocksinto,https://t.co/2DGAgeKzSQ - #Author - Addicted to #BigData #IoT #AI #China #manufacturing #Stocks #Vietnam #Economics #startup #webdev #mobileapps #technology #automation,WorldWide,1397,994,4208,2016-08-03 03:12:05,2020-07-06 04:53:55,6,5 Chinese Stocks Into Permanent Magnets https://t.co/PBZMXbjaOT #China #Technology #Stocks #Magnetic #Materials #Magnets #Ironore #Neodymium #Smartphones #Auto #EV #Tesla #Markets #Trading #IoT #BigData,"[{'text': 'China', 'indices': [81, 87]}, {'text': 'Technology', 'indices': [88, 99]}, {'text': 'Stocks', 'indices': [100, 107]}, {'text': 'Magnetic', 'indices': [108, 117]}, {'text': 'Materials', 'indices': [118, 128]}, {'text': 'Magnets', 'indices': [129, 137]}]"
Denis17222198,зрадоебы пидары,,900,131,9181,2012-05-23 15:29:49,2020-07-06 04:48:37,7,"NICE!!! @elonmusk can I have a pair!?! 
I've been waiting for these fashionable #Tesla  shorty shorts since 2018 😂✨ https://t.co/KwwDDqEnXI https://t.co/CbY3JuxgBa https://t.co/EJqOPsufW6","[{'text': 'Tesla', 'indices': [96, 102]}]"
sydney_ev,"Ev owner + advocate in Sydney, 100% Solar powered with powerwalls. Aircraft operator, Pilot and Science Party member. https://t.co/hfYdTsdbmJ","Sydney, New South Wales",714,1322,23370,2017-10-21 12:54:51,2020-07-06 04:47:24,0,"@SnazzyQ At least you guys had the chance to get something other than free supercharger credits. The rest of the world never had that chance. Referral codes is not why I make videos on our #Tesla. new EV on the road is enough, moving to a sustainable future.  Be grateful we get anything","[{'text': 'Tesla', 'indices': [189, 195]}]"
rQM0wdDcF6OMd7y,"Я уже сбился со счета, какой именно у меня это акк. Спасибо поддержке твиттера.",замкадье,125,8,1329,2020-01-21 08:24:27,2020-07-06 04:43:45,2,"Dad said his new ride came with a lifetime of free fuel. 🏎️⛽🔌

Mine did too. 🚲💪🤑

@mrmoneymustache @Tesla @elonmusk @BianchiOfficial
#financialindependence #cycling #tesla #frugality https://t.co/txhj9BDreb",[]
ElonPromises,"Parody account with sh*t Elon said, newly arranged. Non-commercial. Based on—but not affiliated with—@tedstein’s wonderful https://t.co/7f03G8sfdH. $tslaq",,0,228,728,2019-10-31 15:42:17,2020-07-06 04:42:01,0,"""There is unlimited demand for Teslas in spite of shortseller FUD. Financially insane to do anything else.""

#Tesla $tsla $tslaq","[{'text': 'Tesla', 'indices': [109, 115]}]"
venus47203379,For small creatures such as we the vastness is bearable only through love.🚀✨🎹,"Manhattan, NY",298,2448,3075,2020-02-19 20:03:01,2020-07-06 04:38:05,16,"Today, for the first time in months, I hugged my best friend. She wants to sell the car and replace it with a #Tesla. 🚗❤️
Isolation is scary🙀 https://t.co/QtHxdsIxEm","[{'text': 'Tesla', 'indices': [129, 135]}]"
SFPAG1,International Finance Company,"36.49005,-4.951704",47,1187,1840,2011-10-02 11:33:23,2020-07-06 04:36:03,0,"Tesla Releases ""Short Shorts"", May Hint at Profitable Q2 https://t.co/4iKBMauoqn #tesla","[{'text': 'tesla', 'indices': [81, 87]}]"
kimpaquette,Professional Wanderluster | Tesla Performance Model 3 owner 😎⚡️🚗🔌🔋,"Newport, RI",1253,4280,26107,2011-02-28 02:21:48,2020-07-06 04:33:26,0,"@28delayslater Add a white tight #Tesla t-shirt and it’s @elonmusk ‘s version of Hooters Girls. 

Brilliant plan.","[{'text': 'Tesla', 'indices': [33, 39]}]"
Roberts11Major,#maga #Trump2020 Big Q liberals democrats what can you agree on to end this silent war? Come to the table of compromise.,United States,2099,1430,21886,2020-01-25 02:48:06,2020-07-06 04:32:36,6,"OK, So according to the FBI website, Nikola Tesla was born on Venus!! JiggaSayWhaaaat!?? #qanon #tesla #the1111code https://t.co/jFlPqggGkq","[{'text': 'qanon', 'indices': [106, 112]}, {'text': 'tesla', 'indices': [113, 119]}, {'text': 'the1111code', 'indices': [120, 132]}]"
